Unnamed: 0,question,answer,파일명,result
35,공개매수 기간 중 투자자들이 주의해야 할 주요 사항은 무엇입니까?,"공개매수 기간 중에는 주가가 급격히 변동할 가능성이 있으며, 특히 경쟁 과열이나 근거 없는 풍문에 현혹되지 않도록 전자공시시스템(DART)을 통해 정확한 정보를 확인해야 합니다. 또한, 공개매수가 장외거래로 세금 등의 영향을 받을 수 있음을 고려해야 합니다.",241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).pdf,"공개매수 기간 중 투자자들이 주의해야 할 주요 사항은 다음과 같습니다:

1. **정확한 정보 확인**: 공개매수 신고서 등 전자공시시스템(DART)에 공시된 정보를 통해 정확한 내용을 확인해야 합니다. 근거 없는 풍문에 현혹되지 않도록 주의해야 합니다. (출처: 241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).txt)

2. **주가 변동성**: 공개매수 기간 중 또는 종료 이후 주가가 급격히 하락할 수 있으므로 이에 대한 주의가 필요합니다. (출처: 241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).txt)

3. **세금 고려**: 공개매수는 장외거래로 세금에 따른 영향을 고려해야 합니다. (출처: 241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).txt)

4. **매도 제한**: 공개매수가격에 원하는 물량을 모두 매도하지 못할 수 있으며, 공개매수 종료일 및 직전 영업일에 매수하는 경우 공개매수 응모가 어려울 수 있습니다. (출처: 241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).txt)

5. **응모 방법의 차이**: 공개매수 사무취급자에 따라 공개매수 응모 방법이 다를 수 있으므로, 이에 대한 확인이 필요합니다. (출처: 241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).txt)

6. **조건 및 일정 변경 가능성**: 공개매수 조건 및 일정이 변경될 수 있으므로, 관련 공시 내용을 정확히 확인해야 합니다. (출처: 241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).txt)

이러한 사항들을 충분히 고려하고 신중하게 투자 결정을 내리는 것이 중요합니다."
36,구글이 시행하는 금융서비스 인증 절차의 주요 내용은 무엇입니까?,"구글은 국내에서 금융상품 광고를 하려는 광고주에게 금융위원회 등록 여부를 확인하는 인증 절차(FSV)를 마련하였습니다. 인증받지 못한 광고주는 금융상품 광고를 게재할 수 없으며, 이는 2024년 11월 7일부터 시행됩니다​.",241008 (보도자료) 불법사금융 척결 실무TF 개최.pdf,"구글이 시행하는 금융서비스 인증 절차(금융서비스 인증, Financial Services Verification, FSV)의 주요 내용은 다음과 같습니다:

1. **광고주 인증 필요**: 금융서비스(상품)를 광고하거나 금융서비스를 탐색하는 고객을 대상으로 광고를 하고자 하는 광고주는 구글에 광고를 게재하기 전에 인증을 받아야 합니다. 인증을 받지 못한 광고주는 해당 광고를 게재할 수 없습니다.

2. **인증 절차**:
   - 금융서비스 광고주에 대해서는 광고주의 정보(사명, 주소, 이메일 등)가 금융위원회에 등록된 금융회사 정보와 일치하는지 확인합니다. 만약 일치하지 않으면 인증을 통과하지 못합니다.
   - 비금융 광고주에 대해서는 사업의 세부정보와 광고사유 등을 바탕으로 해당 광고가 금융서비스를 탐색하는 고객에게 제공되는 것이 타당한지 검증합니다. 타당성이 없다고 판단되면 인증을 통과하지 못합니다.
   - 사후적으로 인증심사 대상이 확인될 경우, 광고는 중단되고 인증 절차를 진행해야 하며, 인증을 통과하지 못하면 광고를 게재할 수 없습니다.

3. **인증 방식**: 인증은 여러 유형으로 나뉘며, 광고주가 제공하는 정보와 금융감독원이 제공하는 금융회사 정보의 비교, 정부·공공기관의 도메인 이메일 계정으로 인증, 업종 및 인허가 면제 대상 확인증 제출 등을 통해 이루어집니다.

4. **대상 광고주**: 인증 대상은 금융회사, 인증 받은 제3자, 비금융서비스 광고주, 정부·공공기관, 법상 인허가가 불필요한 자 등으로 구분됩니다 (출처: 241008 (보도자료) 불법사금융 척결 실무TF 개최.txt)."
37,"2024년 상반기 개인사업자대출119 프로그램으로 지원된 총액은 얼마이며, 주된 지원 유형은 무엇입니까?","2024년 상반기 개인사업자대출119 프로그램을 통해 1조 5,414억 원이 지원되었으며, 주요 지원 유형은 만기연장(1조 1,961억 원)과 이자감면(8,412억 원)입니다.",241007_조간 (보도자료) 24년 상반기 국내은행 개인사업자대출119 운영현황.pdf,"2024년 상반기 개인사업자대출119 프로그램으로 지원된 총액은 1조 5,414억원이며, 주된 지원 유형은 만기연장으로 1조 1,961억원(77.6%)이 해당됩니다. 이 외에도 이자감면이 8,412억원(54.6%)으로 뒤를 이었습니다 (출처: 241007_조간 (보도자료) 24년 상반기 국내은행 개인사업자대출119 운영현황.txt)."
38,신용카드사의 부가서비스 제공 관행 개선에서 주요 개선 사항은 무엇입니까?,"결제 취소로 한도가 복원되는 경우 누락된 부가서비스를 자동 환급하도록 시스템과 약관을 개선하며, 무이자할부 및 결제취소분 실적 차감방식을 명확히 안내하도록 강화할 예정입니다.",241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선.pdf,"신용카드사의 부가서비스 제공 관행 개선에서 주요 개선 사항은 다음과 같습니다:

1. **부가서비스 안내 강화**: 신용카드 이용자가 '무이자할부' 및 '결제 취소분 실적 차감방식'을 제대로 인지할 수 있도록 신용카드 서비스 이용조건에 대한 안내를 보완할 계획입니다. 이는 이용자가 부가서비스를 누락 없이 받을 수 있도록 돕기 위한 조치입니다 (출처: 241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선.txt).

2. **부가서비스 자동 제공 시스템 개선**: 모든 신용카드 상품의 이용·취소 내역을 정산하여 누락된 부가서비스를 월별 한도까지 자동으로 사후 제공하는 시스템을 개선할 예정입니다 (출처: 241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선.txt).

3. **고비용 거래구조 개선**: 카드사의 적격비용을 낮추고 이해관계자의 비용 부담을 줄이기 위해, 이용대금명세서의 전자문서 교부 및 모바일 메시지 전환 등을 통해 관리비를 절감할 계획입니다 (출처: 240820(보도자료) 적격비용 제도개선 TF회의 개최.txt).

4. **휴면카드 관리 서비스 신설**: 카드정보 통합관리서비스를 개편하여 휴면카드를 일괄 조회하고 해지할 수 있는 서비스를 신설하고, 카드 자동납부 이동서비스를 확대 운영할 예정입니다 (출처: 240820 (붙임2) 신용카드업 상생발전 제도개선 방안.txt).

이러한 개선 사항들은 신용카드 이용자의 편의성을 높이고, 부가서비스의 제공을 보다 투명하고 효율적으로 만들기 위한 노력의 일환입니다."
39,"개인채무자보호법 시행의 주요 내용은 무엇이며, 시행 이후 정부의 계획은 무엇입니까?","개인채무자보호법은 연체이자 완화, 과도한 추심 제한, 채권 매각 규율 등을 포함하여 채무자의 경제적 재기를 지원합니다. 정부는 시행 후 점검반을 운영하여 사례를 신속히 대응하고, 금융회사와의 협력을 통해 법을 정착시킬 계획입니다.",241007 개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의 개최.pdf,"개인채무자보호법의 주요 내용은 다음과 같습니다. 이 법은 금융회사가 자체적으로 채무조정을 활성화하고, 채권 매각 관련 규제를 강화하며, 과도한 채권추심을 제한하는 내용을 포함하고 있습니다. 구체적으로는 채권양도, 채권추심, 채권추심 위탁, 채무조정, 이용자 보호 등 5가지 업무에 대한 내부기준을 마련하도록 하고 있습니다 (출처: Passage 1).

법 시행 이후 정부의 계획은 다음과 같습니다. 금융위원회는 법 시행 후 3개월간 계도기간을 두어 제재보다는 계도 중심으로 감독할 예정이며, '개인채무자보호법 시행상황 점검반'을 운영하여 법이 금융현장에 성공적으로 안착될 수 있도록 지속적으로 지원할 계획입니다. 또한, 법 시행 과정에서 발생할 수 있는 시행착오를 예방하기 위해 금융위원회가 중심이 되어 점검반을 신설하고 운영할 것입니다 (출처: Passage 3, Passage 4). 

이러한 조치들은 채무자가 금융회사에 직접 채무조정을 요청할 수 있도록 하고, 연체이자 부담을 합리적으로 줄이며, 지나친 채권추심을 제한하여 채무자의 재기 가능성을 높이는 데 기여할 것으로 기대됩니다 (출처: Passage 3)."
40,금감원과 한국수자원공사가 체결한 감사업무 협약의 주요 목적은 무엇입니까?,"이 협약의 주요 목적은 감사 정보 및 기법 교류를 통해 감사 성과와 내부통제 체계 강화를 도모하고, 상호 발전을 촉진하는 것입니다.","241007 1100 (보도자료) 금감원, 한국수자원공사와 감사업무협약 체결.pdf","금융감독원과 한국수자원공사가 체결한 감사업무 협약의 주요 목적은 감사 전문성 향상 및 역량 강화를 통해 감사 성과를 높이고, 내부통제 체계를 강화하며 청렴도를 제고하는 것입니다. 이를 위해 양 기관은 감사 정보와 기법을 교류하고, 내부통제 및 감사활동 강화를 위한 실무회의를 운영하는 등 상호 협력할 예정입니다 (출처: 241007 1100 (보도자료) 금감원, 한국수자원공사와 감사업무협약 체결.txt)."
41,"2024년 상반기 관계형금융 잔액은 얼마이며, 주요 대출 증가율은 어떻게 되었습니까?","2024년 상반기 관계형금융 잔액은 18.4조 원으로, 전년 말 대비 11.4% 증가하였습니다. 중소법인 대출은 8.6%, 개인사업자 대출은 17.2% 증가하였습니다​.",241004_조간_(보도자료) 24년 상반기 관계형금융 취급실적 및 우수은행 평가 결과.pdf,"2024년 상반기 관계형금융 잔액은 18.4조원으로, 2023년 말의 16.5조원 대비 11.4% 증가하였습니다. 주요 대출 증가율은 개인사업자 대출이 17.2% 증가하여 6.3조원에 이르며, 중소법인 대출은 8.6% 증가하여 12.1조원에 도달했습니다. (출처: 241004_조간_(보도자료) 24년 상반기 관계형금융 취급실적 및 우수은행 평가 결과.txt)"
42,전북특별자치도와 금융감독원이 체결한 금융교육 활성화 협약의 주요 내용은 무엇입니까?,"협약의 주요 내용은 청소년 금융이해력 강화, 현직 교사 금융교육 확대, 청년 맞춤형 재무상담 프로그램 운영, 자립준비청년 대상 금융특강 제공 등이 포함되어 있습니다​.",241002_1100 (보도자료) 전북도 도민 금융교육을 적극 지원하겠습니다_F.pdf,"전북특별자치도와 금융감독원이 체결한 금융교육 활성화 협약의 주요 내용은 다음과 같습니다:

1. **금융교육 프로그램 활용**: 금융감독원의 금융교육 프로그램을 활용하여 학생, 청년, 취약계층 등 전북특별자치도민을 대상으로 맞춤형 교육을 강화합니다.

2. **청년 금융교육 강화**: 전북특별자치도 거주 청년을 위한 맞춤형 재무상담을 실시하고, 자립준비 청년들을 위한 금융교육 특강을 제공합니다.

3. **교사 금융교육 전문성 제고**: 도내 현직 교사들의 금융교육 전문성을 높이기 위해 금융감독원이 방학 중 초·중·고 교사 금융연수를 확대 실시합니다.

4. **금융교육 접근성 제고**: 금융사기 피해 예방을 위한 교육과 캠페인을 실시하고, 온라인 콘텐츠를 통해 금융교육의 접근성을 높입니다.

5. **도민 금융역량 강화**: 도민의 금융역량을 높이기 위한 다양한 프로그램과 특강을 제공하며, 14개 시군을 순회하는 도민 금융아카데미를 개최합니다.

이 협약은 전북특별자치도의 금융역량 강화를 위한 상호협력의 일환으로 진행되었습니다 (출처: 241002_1100 (보도자료) 전북도 도민 금융교육을 적극 지원하겠습니다_F.txt)."
43,전기자동차 배터리 교체 비용 전액 보상을 받으려면 어떤 약관에 가입해야 합니까?,"전기자동차 배터리 교체 비용 전액 보상을 받기 위해서는 ""전기자동차 배터리 교체비용 전액보상 특별약관""에 별도 가입해야 합니다. 일반 약관에서는 감가상각 금액이 공제됩니다​.",241002 주요 민원사례로 알아보는 소비자 유의사항_자동차보험 특별약관편_F.pdf,"전기자동차 배터리 교체 비용을 전액 보상받기 위해서는 ""전기자동차 배터리 교체 비용 전액보상 특별약관""에 가입해야 합니다. 이 특별약관에 가입하지 않은 경우, 배터리 교체 시 기존 배터리의 감가상각 금액이 공제되어 보상받게 됩니다. 따라서 전액 보상을 원하신다면 해당 특별약관에 별도로 가입하셔야 합니다. (출처: 241002 주요 민원사례로 알아보는 소비자 유의사항_자동차보험 특별약관편_F.txt)"
44,START 포털을 통해 인허가 사전협의를 신청한 경우 평균 면담 일정 소요 기간은 얼마나 됩니까?,START 포털을 통해 접수된 인허가 사전협의는 평균적으로 접수 후 약 26일 이내에 면담이 이루어집니다​.,241002 조간 (보도자료) 「START 포털」 운영.pdf,START 포털을 통해 인허가 사전협의를 신청한 경우 평균 면담 일정 소요 기간은 약 26일입니다. (출처: 241002 조간 (보도자료) 「START 포털」 운영.txt)
45,2024년 보험회사의 해약환급금 준비금 제도 개선의 주요 내용은 무엇입니까?,"자본건전성 조건을 충족하는 보험사에 대해 준비금 적립 비율을 기존 대비 80% 수준으로 조정하여 배당가능이익을 확대하며, 지급여력 비율 200% 이상인 보험사부터 우선 적용할 예정입니다.",241002 자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대.pdf,"2024년 보험회사의 해약환급금 준비금 제도 개선의 주요 내용은 다음과 같습니다:

1. **배당가능이익 확대**: 일정 자본건전성 조건을 충족하는 보험회사에 대해 해약환급금 준비금 적립비율을 조정하여, 종전 회계기준(IFRS4) 적용 시와 유사한 배당가능이익을 확보할 수 있도록 합니다. 예를 들어, 현행 대비 80% 등으로 조정될 수 있습니다.

2. **법인세 및 배당 관련 문제 해결**: 해약환급금 준비금이 과세표준에서 제외되어 세법상 손금으로 인정되므로, IFRS17 전환 이후 회계상 이익 대비 과소납세 이슈가 제기되었습니다. 이를 해결하기 위해 일관적이고 합리적인 배당 및 납세 기준을 마련할 필요성이 강조되었습니다.

3. **준비금 적립액 증가 문제**: 해약환급금 준비금의 누적액이 급증함에 따라, 당기순이익 대비 주주 배당 및 세금 납부액이 충분하지 않다는 비판이 제기되었습니다. 이에 따라 제도 개선이 필요하다는 의견이 지속적으로 제기되었습니다.

4. **점진적 적용**: IFRS17 관련 여러 제도 개선이 예정되어 있는 만큼, 일정 지급여력 비율(K-ICS)을 조건으로 설정하고 개선안을 점진적으로 적용할 계획입니다.

이러한 개선 방안은 보험계약에 대한 새로운 국제회계기준(IFRS17) 도입에 따른 변화에 대응하기 위한 것입니다 (출처: 241002 자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대.txt)."
46,보험사의 내부통제 강화를 위해 추진된 주요 방안은 무엇입니까?,"상품위원회의 운영 강화, 계리법인 외부검증 절차 개선, 합리적 보장한도 심의 기준 마련 등이 포함됩니다. 이를 통해 보험상품 개발 및 판매의 모든 과정을 총괄하도록 합니다.",241002 보험산업의 건전경쟁을 확립하고 내부통제를 강화해 나가겠습니다.pdf,"보험사의 내부통제 강화를 위해 추진된 주요 방안은 다음과 같습니다:

1. **금융사고 예방지침 마련**: 보험회사가 임원별 내부통제 책무를 명확히 구분하고 이를 적극적으로 이행할 수 있도록 책무구조도를 도입합니다. 이는 2025년 7월부터 적용될 예정입니다 (출처: Passage 1).

2. **보험사기 예방 내부통제 규율 명시화**: 보험사기 및 도덕적 해이를 방지하기 위한 내부통제장치를 강화합니다. 이를 위해 보험상품의 담보별 보장내용과 한도에 대한 사기 영향도 평가를 실시하고, 계약자의 보장한도 설정 시 기존 계약의 보장금액 한도를 합산하여 과도한 보장한도 설정을 방지합니다 (출처: Passage 0).

3. **소비자 제출 서류 검증 절차 마련**: 소비자가 제출한 서류의 위·변조 여부를 검증하는 절차를 마련하고, 금융취약계층 보호를 위한 강화된 본인확인 절차를 도입합니다 (출처: Passage 4).

4. **내부고발 활성화**: 내부고발자를 포함한 다양한 접수채널과 포상기준을 마련하여 내부고발을 활성화합니다 (출처: Passage 4).

이러한 방안들은 보험사기 및 도덕적 위험을 방지하고, 내부통제를 강화하여 보험사의 건전성을 높이는 데 기여할 것으로 기대됩니다."
47,보험 가입자가 통지의무를 이행하지 않을 경우 어떤 불이익이 있을 수 있습니까?,"통지의무를 이행하지 않으면 보험 계약이 해지되거나, 보험금이 삭감 지급 또는 부지급되는 불이익이 발생할 수 있습니다​.",240930[금융꿀팁] 보험 가입 후 알릴의무(통지의무) 관련 유익정보 및 유의사항 안내.pdf,"보험 가입자가 통지의무를 이행하지 않을 경우 여러 가지 불이익이 발생할 수 있습니다. 주요 불이익으로는 다음과 같습니다:

1. **보험금 부지급**: 통지의무를 위반한 경우, 보험사고 발생 시 보험금이 지급되지 않을 수 있습니다. 예를 들어, 화재보험의 경우 통지의무 위반으로 인해 계약이 해지되면 보험회사는 보험금을 지급할 책임이 없습니다 (출처: 240930[금융꿀팁] 보험 가입 후 알릴의무(통지의무) 관련 유익정보 및 유의사항 안내.txt).

2. **계약 해지**: 보험가입자가 위험변경이나 증가에 대한 통지를 하지 않을 경우, 보험회사는 그 사실을 알게 된 날로부터 1개월 이내에 보험계약을 해지할 수 있습니다 (출처: 240930[금융꿀팁] 보험 가입 후 알릴의무(통지의무) 관련 유익정보 및 유의사항 안내.txt).

3. **보험료 변동**: 통지의무를 이행하지 않으면 보험료가 변동될 수 있으며, 위험이 증가한 경우 보험료가 인상될 수 있습니다 (출처: 240930[금융꿀팁] 보험 가입 후 알릴의무(통지의무) 관련 유익정보 및 유의사항 안내.txt).

이와 같이 통지의무를 준수하지 않으면 보험계약의 해지, 보험금의 부지급 또는 삭감, 보험료의 변동 등 다양한 불이익이 발생할 수 있습니다."
48,"여신거래 안심차단 서비스는 어떤 목적으로 제공되며, 주요 가입 연령대는 누구입니까?","여신거래 안심차단 서비스는 보이스피싱 등 피해를 예방하기 위해 제공되며, 주요 가입 연령대는 60대 이상으로 전체 가입자의 약 62%를 차지합니다.",240930 조간 (보도자료) 여신거래 안심차단 시행(8.23.) 이후.pdf,"여신거래 안심차단 서비스는 개인의 신규 여신거래를 사전에 차단하여 보이스피싱 및 명의도용 등으로 인한 금전 피해를 예방하기 위해 제공됩니다. 이 서비스에 가입하면 신용대출, 카드론, 신용카드 발급 등 다양한 여신거래가 실시간으로 차단됩니다. 주요 가입 연령대는 60대 이상 고령층으로, 이 연령대의 서비스 가입률이 전체 가입자의 62%에 달하는 것으로 나타났습니다. 반면, 20·30대의 가입률은 낮은 편입니다. (출처: 240930 조간 (보도자료) 여신거래 안심차단 시행(8.23.) 이후.txt)"
49,마이데이터 2.0에서 청소년의 이용 편의성을 개선하기 위해 어떤 변경이 이루어졌습니까?,"청소년의 마이데이터 이용 연령이 기존 19세 이상에서 14세 이상으로 변경되었습니다. 다만, 정보 활용 제한 규정은 유지됩니다.",240930 조간 (보도자료) 「마이데이터 2.0」 시행을 위한 제도적 기반을 마련하겠습니다.pdf,"마이데이터 2.0에서 청소년의 이용 편의성을 개선하기 위해 법정대리인의 동의 없이 스스로 마이데이터를 이용할 수 있는 연령이 19세에서 14세 이상으로 변경되었습니다. 이로 인해 14세 이상의 청소년은 법정대리인의 동의 없이도 마이데이터 서비스를 이용할 수 있게 되어, 청소년의 마이데이터 이용이 개선되었습니다. 다만, 19세 미만 청소년의 정보가 무분별하게 활용되지 않도록 정보 수집 및 제공과 활용 제한 규정은 여전히 유지됩니다 (출처: 240930 조간 (보도자료) 「마이데이터 2.0」 시행을 위한 제도적 기반을 마련하겠습니다.txt)."
50,수능 이후 고3 학생들을 위한 금융교육의 주요 내용은 무엇입니까?,"주요 내용으로는 신용관리, 금융사기 예방, 재무관리 방법, 금융꿀팁 등이 포함되며, 가상자산 투자사기 및 청소년 불법도박 예방 등도 다룹니다.",240930 고3 학생들에게 꼭 필요한 금융사기 예방법 및 금융꿀팁.pdf,"수능 이후 고3 학생들을 위한 금융교육의 주요 내용은 다음과 같습니다:

1. **신용관리**: 신용카드와 체크카드의 차이, 바람직한 대출 관리 방법, 학자금 대출 및 대환 대출 플랫폼에 대한 이해를 포함합니다.

2. **금융사기 예방**: 보이스피싱, 메신저피싱, 스미싱, 파밍 등 다양한 금융사기의 유형과 대처 요령을 교육합니다. 특히, 가상자산 투자사기와 청소년 불법 도박 예방에 대한 내용도 포함되어 있습니다.

3. **재무관리 방법**: 목돈 마련하기, 투자 및 보험의 개념, 그리고 금융·재무 감각을 키우기 위한 방법을 다룹니다. 또한, 채무자 구제 제도 및 채무 상담 방법에 대한 정보도 제공됩니다.

4. **금융꿀팁**: 실생활에서 유용한 금융 정보와 팁을 제공하여 학생들이 사회에 진출할 때 필요한 금융 역량을 강화하는 데 도움을 줍니다.

이 교육은 총 2시간 분량으로 구성되어 있으며, 대면, 실시간 비대면, 동영상 교육 방식으로 진행됩니다 (출처: 240930 고3 학생들에게 꼭 필요한 금융사기 예방법 및 금융꿀팁.txt)."
51,이 문서에서 '온라인 대출 갈아타기 서비스'가 새롭게 추가된 대상은 무엇인가요?,이 문서에서는 2024년 9월 30일부터 실시간 시세 조회가 가능한 주거용 오피스텔과 빌라(연립·다세대)가 '온라인 대출 갈아타기 서비스'의 새로운 대상에 포함되었다고 설명하고 있습니다.,240927 실시간 시세 조회가 가능한 주거용 오피스텔 및 빌라 담보대출도 갈아타기.pdf,"'온라인 대출 갈아타기 서비스'에 새롭게 추가된 대상은 '주거용 오피스텔 및 빌라(연립·다세대 주택)'입니다. 이 서비스는 2024년 9월 30일부터 시행되며, 실시간 시세 조회가 가능한 주거용 오피스텔과 빌라 담보대출을 통해 보다 손쉽게 대출을 갈아탈 수 있도록 지원합니다. (출처: 240927 실시간 시세 조회가 가능한 주거용 오피스텔 및 빌라 담보대출도 갈아타기.txt)"
52,문서에서 '공매도 통합 가이드라인'의 주요 목적은 무엇인가요?,이 문서에서는 '공매도 통합 가이드라인'의 주요 목적이 투자자가 공매도 불법 여부를 스스로 검증하고 예방·통제할 수 있도록 하기 위한 것이라고 명시하고 있습니다.,240926 투자자에게 공매도 통합가이드라인을 제시.pdf,"'공매도 통합 가이드라인'의 주요 목적은 투자자들이 공매도 거래에서 무차입공매도의 불법 여부를 스스로 검증하고 예방할 수 있도록 명확하고 실효성 있는 기준을 제공하는 것입니다. 이를 통해 공정하고 투명한 공매도 거래환경을 구축하고, 투자자들이 다양한 거래 사례에 대한 구체적인 실무 예시를 이해할 수 있도록 지원하는 것이 목표입니다. 또한, 외국인 투자자들이 금융당국의 지침을 정확히 이해할 수 있도록 국문뿐만 아니라 영문으로도 자료를 제공하는 방향으로 개선하고 있습니다. (출처: 240926 투자자에게 공매도 통합가이드라인을 제시.txt)"
53,문서에서 채권자 변동정보 조회 시스템의 주요 개선 사항은 무엇인가요?,"문서에 따르면 주요 개선 사항은 (1) 조회 가능한 정보의 범위를 확대하여 신용카드 거래대금, 현금서비스, 개인사업자 대출 등도 포함하고, (2) 채권 변동 정보를 5영업일 이내에 업데이트하도록 변경한 것입니다​.","240926 채권자 변동내역, 소멸시효 완성 여부 등을 확인하고 불법 채권추심에 대응.pdf","채권자 변동정보 조회 시스템의 주요 개선 사항은 다음과 같습니다:

1. **조회 대상 및 범위 확대**: 소비자가 조회할 수 있는 채권의 종류가 대폭 확대되어, 이제는 대출과 카드론뿐만 아니라 신용카드 거래대금, 현금서비스, 개인사업자 대출 등 다양한 채무를 확인할 수 있게 되었습니다. (출처: 240926 채권자 변동내역, 소멸시효 완성 여부 등을 확인하고 불법 채권추심에 대응.txt)

2. **최신 정보 업데이트**: 채권 매각이 발생했을 때, 기존에는 최대 3개월이 소요되었던 정보 확인이 앞으로는 5영업일 이내로 단축되었습니다. 이를 통해 소비자는 더 빠르게 자신의 채권자 변동 정보를 확인할 수 있습니다. (출처: 240926 채권자 변동내역, 소멸시효 완성 여부 등을 확인하고 불법 채권추심에 대응.txt)

3. **정보 제공의 직관성 향상**: 시스템 개편을 통해 소비자가 본인 채무의 연체 또는 채권자 변동이 발생했을 때, 관련 정보를 보다 직관적으로 확인할 수 있도록 화면이 구성되었습니다. (출처: 240926 채권자 변동내역, 소멸시효 완성 여부 등을 확인하고 불법 채권추심에 대응.txt)

이러한 개선 사항들은 소비자가 자신의 권리를 보다 효과적으로 보호할 수 있도록 돕기 위한 노력의 일환으로, 불법 채권 추심에 대한 대응력을 강화하는 데 기여할 것으로 기대됩니다. (출처: 240926 채권자 변동내역, 소멸시효 완성 여부 등을 확인하고 불법 채권추심에 대응.txt)"
54,이 문서에서 온라인 대부중개사이트 점검의 주요 내용은 무엇인가요?,"주요 점검 내용은 개인정보 유출, 불법사금융업체 광고 대행, 허위·과장광고 등의 위법 행위 여부를 확인하는 것입니다​.","240926 경기도, 경기남부 북부경찰청과 온라인 대부중개플랫폼 합동점검 실시.pdf","온라인 대부중개사이트 점검의 주요 내용은 다음과 같습니다. 경기도에 소재한 5개 온라인 대부중개사이트에 대해 2024년 9월 26일부터 합동점검이 실시됩니다. 이 점검은 불법사금융 근절을 목표로 하며, 특히 개인정보 유출, 불법사금융업체 광고 대행, 허위 및 과장 광고 등을 집중적으로 단속합니다. 점검 결과 위법행위가 적발될 경우 영업정지 및 수사의뢰 등의 엄중한 조치가 취해질 예정입니다. 점검에는 금융감독원, 경기도, 경기남부경찰청, 경기북부경찰청, 금융보안원이 참여하며, 개인정보 보호 절차 준수 및 광고의 적정성 여부도 확인할 계획입니다 (출처: 240926 경기도, 경기남부 북부경찰청과 온라인 대부중개플랫폼 합동점검 실시.txt)."
55,문서에서 설립된 디지털자산보호재단의 주요 역할은 무엇인가요?,디지털자산보호재단의 주요 역할은 영업을 종료한 가상자산거래소로부터 이용자의 자산을 이전받아 안전하게 보관하고 이를 이용자에게 반환하는 것입니다​.,240925영업을 종료한 가상자산거래소의 이용자 자산을 차질없이 반환.pdf,"디지털자산보호재단의 주요 역할은 영업을 종료한 가상자산 거래소로부터 이용자 자산을 이전받아 안전하게 보관 및 관리하고, 이를 이용자에게 반환하는 것입니다. 재단은 금융당국의 지원을 받아 이용자 자산의 보호와 건전한 거래질서 확립을 목표로 하며, 이용자의 예치금은 은행에, 가상자산은 원화마켓 거래소에 각각 보관될 계획입니다. 또한, 재단은 운영위원회를 구성하여 이용자 자산 관리에 관한 중요사항을 논의하고, 관련 법규를 준수하도록 의무를 부과하여 이용자 보호를 강화할 예정입니다. (출처: 240925영업을 종료한 가상자산거래소의 이용자 자산을 차질없이 반환.txt)"
56,문서에서 GA업계의 정착지원금 관련 내부통제 부족 사례는 무엇인가요?,"문서에서는 정착지원금 지급 대상 선정 기준이 없거나, 본사 차원의 통제 없이 지점별로 운영된 사례가 내부통제 부족의 주요 사례로 제시되었습니다.",240924 GA업계의 건전한 설계사 스카우트 문화 정착을 지속 유도하겠습니다.pdf,"GA업계의 정착지원금 관련 내부통제 부족 사례는 다음과 같습니다:

1. **사례1**: 지역본부장이 영입 설계사에게 회사 내규에서 정한 기준을 초과하여 정착지원금을 지급하였음에도 해당 GA는 별다른 조치를 취하지 않았습니다. 이는 회사의 예산 집행 효율성과 정착지원금 미환수율 개선을 위해 관련 내규 및 설계사 위촉 절차의 보완이 필요함을 시사합니다.

2. **사례2**: 정착지원금 제도를 운영하고 있음에도 불구하고 지급 및 환수 관련 세부 기준(지급 대상자 선정, 지급금액, 환수조건 등)을 마련하지 않았습니다. 이는 정착지원금 운영방안 마련이 필요함을 나타냅니다.

3. **사례3**: 정착지원금을 본부 및 지점별로 상이하게 운영하고 있으며, 본사에서는 지급 현황을 파악하거나 관리하지 않고 있었습니다. 따라서 정착지원금 운영방안 마련 및 본사 차원의 총괄 관리가 필요합니다.

4. **사례4**: 부당 승환계약에 대한 자체점검 활동이 미흡하고, 부당 승환계약을 체결한 설계사에 대한 제재 실적이 미미하였습니다. 이는 보험 모집 시 비교안내확인서 작성의 적정 여부에 대한 점검 절차 마련 및 본사 중심의 정기적인 자체점검 활동 확대가 필요함을 보여줍니다 (출처: 240924 GA업계의 건전한 설계사 스카우트 문화 정착을 지속 유도하겠습니다.txt)."
